Year,Adj 1,Adj 2,Adj 3,Adj 4,Adj 5,Adj 6,Merged_Column
2010,young,,,,,,young
2010,cultured,,,,,,cultured
2010,striking,,,,,,striking
2010,beautiful,,,,,,beautiful
2010,young,,,,,,young
2010,frustrating,,,,,,frustrating
2010,new, sizzling,,,,,"new, sizzling"
2010,lovely,,,,,,lovely
2011,Canadian,,,,,,Canadian
2011,challenged,,,,,,challenged
2011,nice,,,,,,nice
2011,beautiful,,,,,,beautiful
2011,ambitious,,,,,,ambitious
2012,accomplice,,,,,,accomplice
2012,beautiful, young,,,,,"beautiful, young"
2012,beautiful,,,,,,beautiful
2012,old,,,,,,old
2012,rich,,,,,,rich
2013,pregnant,,,,,,pregnant
2013,young,,,,,,young
2013,deceased,,,,,,deceased
2013,broken,,,,,,broken
2014,sister,,,,,,sister
2014,disabled,,,,,,disabled
2014,spirited, free,,,,,"spirited, free"
2015,twin,,,,,,twin
2015,undercover,,,,,,undercover
2015,young,,,,,,young
2015,local,,,,,,local
2015,beautiful, Scared,,,,,"beautiful, Scared"
2015,assistant,,,,,,assistant
2015,beautiful,,,,,,beautiful
2015,young,,,,,,young
2015,young, haughty,,,,,"young, haughty"
2015,dead,,,,,,dead
2015,beautiful,,,,,,beautiful
2015,attractive, married,,,,,"attractive, married"
2015,young, plain,,,,,"young, plain"
2015,late,,,,,,late
2015,young,,,,,,young
2015,young, fiery,,,,,"young, fiery"
2015,blind,,,,,,blind
2015,traditional,,,,,,traditional
2015,poor, pregnant,,,,,"poor, pregnant"
2015,Kenyan,,,,,,Kenyan
2015,fake,,,,,,fake
2015,traditional, homely,,,,,"traditional, homely"
2015,new,,,,,,new
2015,shocked,,,,,,shocked
2015,single,,,,,,single
2015,injured,,,,,,injured
2015,rebellious,,,,,,rebellious
2015,pregnant,,,,,,pregnant
2015,old,,,,,,old
2015,concerned,,,,,,concerned
2015,adopted,,,,,,adopted
2015,sister,,,,,,sister
2015,escort,,,,,,escort
2015,fat,,,,,,fat
2015,single,,,,,,single
2015,young,,,,,,young
2015,brothel,,,,,,brothel
2015,rich,,,,,,rich
2015,new,,,,,,new
2015,pregnant,,,,,,pregnant
2015,pregnant,,,,,,pregnant
2014,wrong,,,,,,wrong
2014,eloped,,,,,,eloped
2014,reclusive,,,,,,reclusive
2014,talkative, feisty, young,,,,"talkative, feisty, young"
2014,wrong,,,,,,wrong
2014,pregnant,,,,,,pregnant
2014,working,,,,,,working
2014,fiance,,,,,,fiance
2014,young, Pakistani, sheltered, liberal,,,"young, Pakistani, sheltered, liberal"
2014,Indian,,,,,,Indian
2014,insane,,,,,,insane
2014,real,,,,,,real
2014,lead,,,,,,lead
2014,married,,,,,,married
2014,new,,,,,,new
2014,upset,,,,,,upset
2014,little,,,,,,little
2014,young,,,,,,young
2014,quietly,,,,,,quietly
2014,desperate, triplicate, true, real,,,"desperate, triplicate, true, real"
2014,perfect,,,,,,perfect
2014,little,,,,,,little
2014,young,,,,,,young
2014,teenage,,,,,,teenage
2013,poor,,,,,,poor
2013,conservative,,,,,,conservative
2013,young,,,,,,young
2013,widowed,,,,,,widowed
2013,widowed,,,,,,widowed
2013,young, good,,,,,"young, good"
2013,dead, little,,,,,"dead, little"
2013,critical, unknown,,,,,"critical, unknown"
2013,irresistible,,,,,,irresistible
2013,undisguised, rejuvenated,,,,,"undisguised, rejuvenated"
2013,innocent,,,,,,innocent
2013,pregnant,,,,,,pregnant
2013,Muslim,,,,,,Muslim
2013,sick, ailing,,,,,"sick, ailing"
2013,carefree,,,,,,carefree
2013,right,,,,,,right
2013,traditional, simple,,,,,"traditional, simple"
2013,reluctant,,,,,,reluctant
2013,little,,,,,,little
2013,independent,,,,,,independent
2013,fake,,,,,,fake
2013,social,,,,,,social
2013,young,,,,,,young
2013,dejected,,,,,,dejected
2012,widowed,,,,,,widowed
2012,beloved,,,,,,beloved
2012,young, Muslim,,,,,"young, Muslim"
2012,widowed,,,,,,widowed
2012,little,,,,,,little
